box,cls,model,total,training,step,mode,validation
0.0020771234,0.15984985,0.26370615,0.36637864,0.36637864,143000,train,
0.006999015,0.31776243,0.66771317,0.77027714,,143000,eval,0.77027714
0.0020807707,0.16035298,0.26439163,0.36684802,0.36684802,144000,train,
0.0069195605,0.31811228,0.6640904,0.76643884,,144000,eval,0.76643884
0.0021759174,0.1639907,0.27278674,0.3750277,0.3750277,145000,train,
0.0070883324,0.32012114,0.6745378,0.7766711,,145000,eval,0.7766711
0.0020547132,0.15845877,0.2611943,0.36322078,0.36322078,146000,train,
0.006741165,0.31981564,0.65687394,0.75879294,,146000,eval,0.75879294
0.002122911,0.16120692,0.26735255,0.36916482,0.36916482,147000,train,
0.0065594623,0.32131293,0.6492861,0.7509918,,147000,eval,0.7509918
0.0020607223,0.15839373,0.26142958,0.36302924,0.36302924,148000,train,
0.006858456,0.3179724,0.66089517,0.76238835,,148000,eval,0.76238835
0.00206084,0.15744872,0.2604907,0.361878,0.361878,149000,train,
0.006843042,0.32334322,0.6654954,0.7667766,,149000,eval,0.7667766
0.0020519164,0.15681401,0.25940987,0.36058655,0.36058655,150000,train,
0.0069252243,0.30379835,0.65005964,0.751131,,150000,eval,0.751131
0.0019836146,0.1549958,0.2541766,0.35514337,0.35514337,151000,train,
0.006439247,0.30942586,0.6313882,0.7322505,,151000,eval,0.7322505
0.0021312914,0.16058525,0.2671497,0.36790857,0.36790857,152000,train,
0.0067089503,0.31990463,0.6553521,0.75600696,,152000,eval,0.75600696
0.0019934562,0.1542341,0.25390673,0.35445765,0.35445765,153000,train,
0.00622848,0.3019385,0.6133625,0.71380943,,153000,eval,0.71380943
0.0020617188,0.15768476,0.26077065,0.36111438,0.36111438,154000,train,
0.006726211,0.32175618,0.65806675,0.7583072,,154000,eval,0.7583072
0.0020483555,0.15786247,0.2602802,0.36041743,0.36041743,155000,train,
0.0069174375,0.31454754,0.66041946,0.7604539,,155000,eval,0.7604539
0.0020602152,0.15764453,0.2606554,0.36058733,0.36058733,156000,train,
0.006181872,0.31116328,0.62025684,0.7200868,,156000,eval,0.7200868
0.0019796677,0.15310872,0.25209206,0.35181972,0.35181972,157000,train,
0.0070004044,0.32825297,0.67827314,0.7778988,,157000,eval,0.7778988
0.0020885586,0.15984362,0.26427153,0.36379534,0.36379534,158000,train,
0.0070250374,0.31628364,0.6675355,0.76695794,,158000,eval,0.76695794
0.0019762882,0.15215711,0.2509714,0.3502925,0.3502925,159000,train,
0.0067222365,0.31160963,0.64772147,0.7469413,,159000,eval,0.7469413
0.0020045734,0.15335111,0.25357985,0.35269916,0.35269916,160000,train,
0.006815535,0.31856203,0.6593388,0.758357,,160000,eval,0.758357
0.0020309484,0.15525417,0.25680175,0.35571906,0.35571906,161000,train,
0.006531827,0.3206013,0.6471926,0.74600977,,161000,eval,0.74600977
0.001988801,0.15260544,0.25204542,0.3507629,0.3507629,162000,train,
0.006926765,0.32107472,0.66741294,0.7660311,,162000,eval,0.7660311
0.0019970317,0.15392669,0.2537785,0.35229635,0.35229635,163000,train,
0.0064972797,0.31636828,0.6412323,0.73965055,,163000,eval,0.73965055
0.0020110128,0.1539878,0.2545383,0.3528581,0.3528581,164000,train,
0.006277588,0.31583485,0.62971425,0.72793496,,164000,eval,0.72793496
0.0019977686,0.15191692,0.2518054,0.34992763,0.34992763,165000,train,
0.0064076297,0.30715105,0.62753254,0.72555643,,165000,eval,0.72555643
0.0020020546,0.15295517,0.25305802,0.35098436,0.35098436,166000,train,
0.006118761,0.30039924,0.6063373,0.70416546,,166000,eval,0.70416546
0.0019756525,0.15164806,0.25043046,0.34816122,0.34816122,167000,train,
0.006318658,0.312833,0.62876594,0.7263992,,167000,eval,0.7263992
0.0020063522,0.15261519,0.25293282,0.35046843,0.35046843,168000,train,
0.006440912,0.31121373,0.63325936,0.7306976,,168000,eval,0.7306976
0.0019582356,0.15075208,0.24866404,0.3460062,0.3460062,169000,train,
0.0067743063,0.31820753,0.6569229,0.75416845,,169000,eval,0.75416845
0.0019188898,0.14889742,0.24484183,0.341991,0.341991,170000,train,
0.0066805948,0.3140929,0.6481226,0.7451751,,170000,eval,0.7451751
0.0019682457,0.15049987,0.24891189,0.3458693,0.3458693,171000,train,
0.0064091147,0.31168622,0.63214195,0.7290035,,171000,eval,0.7290035
0.002018953,0.15321733,0.25416496,0.35093123,0.35093123,172000,train,
0.006695207,0.31783766,0.652598,0.7492694,,172000,eval,0.7492694
0.0019180677,0.14838599,0.24428943,0.34086657,0.34086657,173000,train,
0.0065613887,0.31932455,0.647394,0.7438757,,173000,eval,0.7438757
0.0019391478,0.14946486,0.24642237,0.342809,0.342809,174000,train,
0.007177957,0.33251107,0.69140893,0.7877003,,174000,eval,0.7877003
0.0019434805,0.14933623,0.24651028,0.3427078,0.3427078,175000,train,
0.006859803,0.32098848,0.6639787,0.76008135,,175000,eval,0.76008135
0.0019100676,0.14744195,0.2429455,0.33895433,0.33895433,176000,train,
0.0061904904,0.3087896,0.61831415,0.7142286,,176000,eval,0.7142286
0.001944023,0.14915727,0.24635841,0.3421806,0.3421806,177000,train,
0.0062114755,0.30871958,0.6192934,0.7150226,,177000,eval,0.7150226
0.0019292097,0.14861134,0.24507196,0.3407084,0.3407084,178000,train,
0.0064340504,0.31235084,0.63405335,0.72959715,,178000,eval,0.72959715
0.0019221486,0.1473888,0.24349634,0.3389476,0.3389476,179000,train,
0.0065200045,0.3157335,0.64173365,0.7370915,,179000,eval,0.7370915
0.0018859782,0.14547867,0.23977768,0.3350429,0.3350429,180000,train,
0.0068637733,0.317271,0.66045964,0.7556329,,180000,eval,0.7556329
0.001961035,0.14987877,0.24793044,0.34301224,0.34301224,181000,train,
0.00679299,0.29904392,0.63869333,0.73368406,,181000,eval,0.73368406
0.0018754032,0.14394233,0.23771249,0.33261085,0.33261085,182000,train,
0.0064318236,0.3128948,0.63448596,0.72929245,,182000,eval,0.72929245
0.0019286412,0.14745885,0.2438908,0.33860666,0.33860666,183000,train,
0.006303481,0.3061439,0.6213179,0.7159422,,183000,eval,0.7159422
0.001960001,0.14870079,0.24670084,0.34123528,0.34123528,184000,train,
0.006593306,0.31510204,0.6447674,0.73921204,,184000,eval,0.73921204
0.0018598814,0.14412609,0.23712014,0.3314749,0.3314749,185000,train,
0.006642982,0.30817857,0.64032763,0.7345931,,185000,eval,0.7345931
0.0019086401,0.1469135,0.24234557,0.33652133,0.33652133,186000,train,
0.0069973436,0.3252595,0.67512673,0.7692134,,186000,eval,0.7692134
0.0018556253,0.1435834,0.23636474,0.33036318,0.33036318,187000,train,
0.0065163122,0.32591546,0.65173113,0.7456406,,187000,eval,0.7456406
0.0018791106,0.14407982,0.23803537,0.33185613,0.33185613,188000,train,
0.0065642777,0.3121249,0.6403387,0.734071,,188000,eval,0.734071
0.0019122098,0.14537776,0.2409881,0.33463126,0.33463126,189000,train,
0.0062426087,0.30755016,0.6196806,0.7132351,,189000,eval,0.7132351
